epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4141.78,0.86296,0.67203,1.05462,0.7554,0.55625,0.62374,0.35603,1.68133,2.1172,1.63986,0.000478762,0.000478762,0.000478762
74,4184.1,0.88103,0.65726,1.05442,0.79348,0.525,0.63115,0.32232,1.74942,2.11317,1.74626,0.000462259,0.000462259,0.000462259
75,4224.14,0.91488,0.69257,1.09453,0.76163,0.55625,0.62866,0.39867,1.69703,2.12542,1.74825,0.000445756,0.000445756,0.000445756
76,4260.66,0.82757,0.62773,1.0312,0.55799,0.70271,0.61382,0.36988,1.73557,2.11378,1.77396,0.000429253,0.000429253,0.000429253
77,4301.54,0.82788,0.64345,1.04629,0.78387,0.545,0.6127,0.37185,1.73061,2.06437,1.76037,0.000412749,0.000412749,0.000412749
78,4339.04,0.82655,0.67159,1.04274,0.82572,0.54734,0.61257,0.37544,1.60085,2.11397,1.6496,0.000396246,0.000396246,0.000396246
79,4377.63,0.81798,0.64144,1.02634,0.65721,0.61875,0.60966,0.40501,1.50304,2.01804,1.54739,0.000379743,0.000379743,0.000379743
80,4417.44,0.8287,0.62582,1.03304,0.67023,0.5875,0.60731,0.43159,1.50939,2.0203,1.51982,0.000363239,0.000363239,0.000363239
81,4487.23,0.83159,0.63255,1.03497,0.75698,0.525,0.57962,0.38675,1.60122,2.17397,1.60493,0.000346736,0.000346736,0.000346736
82,4567.51,0.80575,0.61006,1.01516,0.61756,0.57899,0.58208,0.38166,1.51675,2.22988,1.55386,0.000330233,0.000330233,0.000330233
83,4649.04,0.77273,0.5944,1.01711,0.64186,0.5875,0.58942,0.3476,1.51332,2.26105,1.5856,0.000313729,0.000313729,0.000313729
84,4730.13,0.79285,0.60234,1.0128,0.72332,0.68264,0.65854,0.38832,1.56036,2.13425,1.59596,0.000297226,0.000297226,0.000297226
85,4807.5,0.78867,0.5854,1.01233,0.71886,0.65625,0.66858,0.43468,1.55491,1.95491,1.67616,0.000280723,0.000280723,0.000280723
86,4842.94,0.74009,0.57532,0.99927,0.86833,0.625,0.66423,0.43815,1.52163,1.98205,1.65645,0.00026422,0.00026422,0.00026422
87,4882.18,0.78051,0.58911,1.03228,0.87305,0.625,0.68222,0.41714,1.58732,1.98465,1.65304,0.000247716,0.000247716,0.000247716
